:START_ID,:END_ID,type:TYPE,context
microgravity,hippo-pathway,MODULATES,"modulating critical pathways, including Hippo"
microgravity,pi3k-akt-pathway,MODULATES,modulating critical pathways... and PI3K-Akt
hippo-pathway,stem-cell-differentiation,IMPROVES,"Hippo and PI3K-Akt, thereby improving stem cell differentiation"
pi3k-akt-pathway,stem-cell-differentiation,IMPROVES,"PI3K-Akt, thereby improving stem cell differentiation"
stem-cell-differentiation,hematopoietic-lineages,PRODUCES,improving stem cell differentiation into hematopoietic and cardiomyocyte lineages
stem-cell-differentiation,cardiomyocytes,PRODUCES,improving stem cell differentiation into ... cardiomyocyte lineages
microgravity,cardiomyocytes,ENHANCES,"microgravity exhibit enhanced mitochondrial biogenesis, improved calcium handling, and advanced structural maturation"
microgravity,polystyrene-microspheres,UTILIZES,microgravity conditions combined with microspheres
microgravity,collagen-microspheres,UTILIZES,microgravity conditions combined with microspheres
microgravity,stemness,PRESERVES,preservation of stemness in human adipose-derived stem cells (hASCs) by using microgravity conditions
polystyrene-microspheres,ssea-3-positive-hascs,INCREASES_PROPORTION_OF,polystyrene... microspheres increased the proportions of SSEA-3(+) hASCs
collagen-microspheres,ssea-3-positive-hascs,INCREASES_PROPORTION_OF,collagen microspheres increased the proportions of SSEA-3(+) hASCs
ssea-3-positive-hascs,oct4,EXPRESSES_HIGHER_LEVELS_OF,"These cultured hASCs expressed higher levels of pluripotent markers (OCT4, SOX2, NANOG, MYC, and KLF)"
ssea-3-positive-hascs,sox2,EXPRESSES_HIGHER_LEVELS_OF,"These cultured hASCs expressed higher levels of pluripotent markers (OCT4, SOX2, NANOG, MYC, and KLF)"
ssea-3-positive-hascs,nanog,EXPRESSES_HIGHER_LEVELS_OF,"These cultured hASCs expressed higher levels of pluripotent markers (OCT4, SOX2, NANOG, MYC, and KLF)"
ssea-3-positive-hascs,myc,EXPRESSES_HIGHER_LEVELS_OF,"These cultured hASCs expressed higher levels of pluripotent markers (OCT4, SOX2, NANOG, MYC, and KLF)"
ssea-3-positive-hascs,klf4,EXPRESSES_HIGHER_LEVELS_OF,"These cultured hASCs expressed higher levels of pluripotent markers (OCT4, SOX2, NANOG, MYC, and KLF)"
ssea-3-positive-hascs,cell-proliferation,IMPROVES_ABILITY_FOR,"had improved abilities for proliferation, colony formation, network formation, and multiple-mesenchymal differentiation."
ssea-3-positive-hascs,colony-formation,IMPROVES_ABILITY_FOR,"had improved abilities for proliferation, colony formation, network formation, and multiple-mesenchymal differentiation."
ssea-3-positive-hascs,network-formation,IMPROVES_ABILITY_FOR,"had improved abilities for proliferation, colony formation, network formation, and multiple-mesenchymal differentiation."
microgravity,regenerative-therapies,ENHANCES,We believe that this novel culturing method may further enhance regenerative therapies using hASCs.
polystyrene-microspheres,colony-formation,INCREASES,We found a significantly higher number of colonies in the polystyrene microsphere group
collagen-microspheres,colony-formation,INCREASES,We found a significantly higher number of colonies in the... collagen microsphere group
polystyrene-microspheres,network-formation,IMPROVES,"hASCs cultured with polystyrene... microspheres formed complex, capillary-like networks more quickly and intricately"
collagen-microspheres,network-formation,IMPROVES,"hASCs cultured with ... collagen microspheres formed complex, capillary-like networks more quickly and intricately"
microgravity,oct4,INCREASES_EXPRESSION_OF,hASCs harvested from microgravity-microsphere cultures had higher expression levels of the pluripotent markers OCT4
microgravity,sox2,INCREASES_EXPRESSION_OF,hASCs harvested from microgravity-microsphere cultures had higher expression levels of the pluripotent markers... SOX2
microgravity,stem-cell-differentiation,ENHANCES,"Microgravity enhances tissue regeneration by modulating critical pathways... thereby improving stem cell differentiation into hematopoietic and cardiomyocyte lineages. Here, we report the preservation of stemness in human adipose-derived stem cells (hASCs) by using microgravity conditions combined with microspheres."
regenerative-therapies,tissue-regeneration,USES,Microgravity enhances tissue regeneration... These findings underscore the dual implications of microgravity for space medicine and terrestrial health. They highlight its potential to drive advances in regenerative therapies. We believe that this novel culturing method may further enhance regenerative therapies using hASCs.
10_1371_journal_pone_0061372,unified_scientific_review,PUBLISHED_IN,N/A
